strategy,pca_dims,tsne_perplexity,algo,k_or_mcs,min_samples,n_clusters_raw,n_clusters,noise_pct,mean_weighted_d,cluster_count_factor,entropy_factor,min_step_entropy,min_agent_entropy,composite_score,passes_verification
tsne3d_hdbscan,20,150,hdbscan,400,10,6,5,61.83257055682685,1.0688449065751882,1.0,0.8827432225508061,0.503217012852706,0.930108952461659,0.3601156498608409,False
tsne3d_hdbscan,20,75,hdbscan,400,25,4,3,56.922196796338675,0.938221377493121,1.0,0.8800696593559256,0.546974346366423,0.9085940152171674,0.3556934934624635,False
tsne3d_hdbscan,20,125,hdbscan,400,10,5,4,54.528985507246375,0.8622479474002556,1.0,0.890203416653871,0.5681472016415366,0.9188462132115366,0.3490246254771779,False
tsne3d_hdbscan,20,125,hdbscan,800,10,5,4,54.528985507246375,0.8622479474002556,1.0,0.890203416653871,0.5681472016415366,0.9188462132115366,0.3490246254771779,False
tsne3d_hdbscan,20,50,hdbscan,400,3,7,6,35.6788710907704,0.5939919494505461,1.0,0.9013216776230908,0.7133133538946855,0.925274855893058,0.3443610579937831,False
tsne3d_hdbscan,20,125,hdbscan,400,25,5,4,65.90389016018307,1.1344594644667871,1.0,0.88341036715671,0.5429554175595264,0.926353922614961,0.34170891201904424,False
tsne3d_hdbscan,20,150,hdbscan,400,5,3,2,36.94698703279939,0.5656472361507444,1.0,0.8928244666440722,0.6157037348502187,0.9226073612630911,0.31843265395689413,False
tsne3d_hdbscan,20,150,hdbscan,800,5,3,2,36.94698703279939,0.5656472361507444,1.0,0.8928244666440722,0.6157037348502187,0.9226073612630911,0.31843265395689413,False
tsne3d_hdbscan,20,150,hdbscan,400,25,3,2,51.1441647597254,0.7106198648021735,1.0,0.8864241129981799,0.5447430526757023,0.9162228131904406,0.30774807675576366,False
tsne3d_hdbscan,20,150,hdbscan,800,25,3,2,51.1441647597254,0.7106198648021735,1.0,0.8864241129981799,0.5447430526757023,0.9162228131904406,0.30774807675576366,False
tsne3d_hdbscan,20,150,hdbscan,800,3,3,2,30.68268497330282,0.49188253649779,1.0,0.8939371875361568,0.625046648041947,0.9251722398485952,0.3047966155195599,False
tsne3d_hdbscan,20,100,hdbscan,400,25,3,2,69.9370709382151,1.1619548882541146,1.0,0.87199650468051,0.45354343971686123,0.9122550870495829,0.30460379056432363,False
tsne3d_hdbscan,20,125,hdbscan,400,5,3,2,25.81045003813883,0.4298163494167351,1.0,0.8954093837529709,0.6249216773132509,0.9305649100751552,0.2855270834949732,False
tsne3d_hdbscan,20,125,hdbscan,800,5,3,2,25.81045003813883,0.4298163494167351,1.0,0.8954093837529709,0.6249216773132509,0.9305649100751552,0.2855270834949732,False
tsne3d_hdbscan,20,100,hdbscan,400,10,3,2,37.166285278413426,0.5073747908517373,1.0,0.8937054867875938,0.6063283624769276,0.9249816589798263,0.2849154796884208,False
tsne3d_hdbscan,20,100,hdbscan,800,10,3,2,37.166285278413426,0.5073747908517373,1.0,0.8937054867875938,0.6063283624769276,0.9249816589798263,0.2849154796884208,False
tsne3d_hdbscan,20,100,hdbscan,800,3,4,3,35.6979405034325,0.48047436815199107,1.0,0.8966273212642313,0.6607559014000526,0.9174384414544704,0.2770174169983536,False
tsne3d_hdbscan,20,100,hdbscan,400,5,5,4,52.80320366132724,0.6543254337631632,1.0,0.8944684269241439,0.627029127196379,0.9266219492689088,0.27623031417822685,False
tsne3d_hdbscan,20,100,hdbscan,100,10,20,10,52.08810068649885,1.607962638502552,0.4,0.8605252089200005,0.21398696872998907,0.9389364949131783,0.26518132100688957,False
tsne3d_hdbscan,20,50,hdbscan,100,25,3,2,26.554157131960338,0.4008501068031077,1.0,0.8986368197436773,0.19564141280825464,0.9379090132368071,0.26456563480317896,False
